name,country,average,strike_rate,economy,balls_bolwed_per_innings,wicket_index,big_impact_index,short_impact_index,runs_index,prelim_metric,pre-rank,kmeans_role,rbml_score,pca_score
CH Gayle,WI,22.0,19.0,6.92,12.66,0.667,0.0,0.667,14.667,25.373,Good,LCB,0.467,0.784
DJ Hussey,AUS,20.63,19.0,6.51,14.424,0.76,0.0,0.76,15.68,22.384,Good,SPB,0.602,0.893
GJ Maxwell,AUS,27.8,22.3,7.47,13.627,0.61,0.0,0.61,16.966,34.611,Good,LCB,0.468,0.785
MN Samuels,WI,28.27,21.7,7.79,15.9,0.733,0.0,0.733,20.733,36.704,Good,SPB,0.565,0.927
Mohammad Nabi,AFG,27.92,23.1,7.25,19.712,0.854,0.034,0.744,23.843,33.737,Good,IB,0.642,1.115
SR Watson,AUS,24.72,19.3,7.65,18.98,0.98,0.02,0.917,24.224,31.518,Good,IB,0.648,1.158
ST Jayasuriya,SL,24.0,19.5,7.37,15.375,0.792,0.0,0.792,19.0,29.48,Good,SPB,0.584,0.942
Shahid Afridi,PAK,24.44,22.1,6.63,22.342,1.01,0.031,0.915,24.701,27.006,Best,SB,0.598,1.285
Shakib Al Hasan,BAN,19.88,17.8,6.67,22.377,1.253,0.063,1.056,24.905,22.1,Best,SB,0.646,1.394
Yuvraj Singh,INDIA,17.82,15.1,7.06,13.626,0.903,0.0,0.903,16.097,20.968,Best,SPB,0.6,0.935
